date,clones_14d,unique_cloners_14d,views_14d,unique_viewers_14d,stars,forks,npm_total,pypi_last_month,crates_total,cumulative_clones,fetched_at
2026-05-02,35078,6241,2918,75,20,14,4056,622,49,37701,2026-05-02T20:02:26Z
2026-05-03,37143,6473,2976,80,20,14,4059,0,49,37701,2026-05-03T08:29:47Z
2026-05-10,38189,5393,2800,85,20,15,4683,585,67,58468,2026-05-10T08:48:58Z
2026-05-17,29274,4747,2985,110,20,15,4880,1463,67,70782,2026-05-17T08:58:42Z
2026-05-24,19175,3120,1726,129,21,15,4991,0,68,78405,2026-05-24T09:14:47Z
2026-05-31,19352,2352,601,85,21,15,5205,0,69,90942,2026-05-31T09:43:20Z
2026-06-07,14374,1886,555,117,23,15,5388,1115,69,92771,2026-06-07T09:55:55Z
2026-06-14,8342,1554,571,122,25,15,5580,503,69,98006,2026-06-14T10:19:56Z
2026-06-21,14185,2230,913,72,25,15,5747,390,69,107130,2026-06-21T10:25:46Z
2026-06-28,22119,3275,1385,85,25,15,5953,470,75,120241,2026-06-28T09:53:44Z
2026-07-05,17652,2755,1309,92,25,15,6300,429,75,123782,2026-07-05T09:35:30Z
2026-07-12,7194,1477,894,89,25,15,6463,262,81,127996,2026-07-12T08:58:01Z
2026-07-19,7705,1606,1147,124,25,15,6540,57,88,131879,2026-07-19T09:01:17Z
2026-07-26,7423,1786,1482,116,26,15,7702,0,98,135936,2026-07-26T09:07:23Z
